fips,PST045213,PST040210,PST120213,POP010210,AGE135213,AGE295213,AGE775213,SEX255213,RHI125213,RHI225213,RHI325213,RHI425213,RHI525213,RHI625213,RHI725213,RHI825213,POP715212,POP645212,POP815212,EDU635212,EDU685212,VET605212,LFE305212,HSG010213,HSG445212,HSG096212,HSG495212,HSD410212,HSD310212,INC910212,INC110212,PVY020212,BZA010212,BZA110212,BZA115212,NES010212,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030212,LND110210,POP060210
13139,187745,179684,4.5,179684,7.1,27.1,13.1,50.0,87.3,8.1,0.9,2.1,0.2,1.4,27.2,62.3,85.9,15.6,26.0,78.5,22.1,10714,25.8,68781,68.6,14.1,169400,60994,2.90,24201,52174,16.8,3917,62141,4.0,13489,17307,0.0,0.6,4.4,0.0,6.9,25.1,6068981,4914547,2220699,12417,224064,303,392.78,457.5
13141,8879,9402,-5.6,9429,4.6,16.5,18.4,44.9,25.5,72.6,0.4,0.7,0.0,0.8,1.8,24.3,89.9,2.6,2.7,74.8,11.0,587,24.9,5244,75.0,5.7,71400,2860,2.73,11225,22716,31.4,76,635,-6.6,530,715,55.5,0.0,0.0,0.0,0.0,31.7,0,0,21008,2183,1031,13,471.84,20.0
13143,28495,28780,-1.0,28780,6.1,24.8,15.7,51.7,92.8,4.8,0.4,0.6,0.0,1.4,1.3,91.6,83.9,1.2,2.1,73.0,12.4,1781,29.2,12179,71.5,9.6,109400,10711,2.62,19183,39227,23.2,432,4937,2.9,2035,2349,0.0,0.0,0.0,0.0,0.0,22.0,952054,53193,313130,10907,14624,17,282.17,102.0
13145,32663,32026,2.0,32024,4.8,22.3,15.9,50.1,80.1,17.0,0.4,0.9,0.1,1.5,3.0,77.6,89.7,2.3,4.1,91.0,28.2,3560,28.1,13527,86.5,3.0,214200,11308,2.78,31858,68816,8.4,358,3318,-7.6,2327,2514,0.0,0.0,0.0,0.0,0.0,21.1,0,0,66126,2271,43474,89,463.87,69.0
13147,25446,25213,0.9,25213,5.5,21.6,20.2,50.8,78.6,18.6,0.2,1.0,0.0,1.5,3.5,75.6,86.6,1.4,3.1,79.6,15.7,2129,23.4,12880,76.8,5.0,115000,9949,2.46,19854,35647,23.5,388,5399,7.0,1753,1725,0.0,0.0,0.0,0.0,0.0,22.7,244785,58960,170726,7077,16806,29,232.39,108.5
13149,11558,11834,-2.3,11834,5.7,23.5,15.1,50.5,86.6,10.6,0.5,0.6,0.0,1.7,2.2,84.9,84.1,0.3,0.8,71.3,7.4,885,36.8,5064,75.2,5.0,88900,4342,2.68,18655,39947,25.2,121,0,0.0,743,1038,0.0,0.0,0.0,0.0,0.0,23.4,0,0,24751,2167,1886,14,296.03,40.0
13151,211128,203879,3.6,203922,6.1,27.6,9.9,52.0,54.5,39.6,0.3,3.3,0.1,2.1,6.3,49.8,84.6,7.2,9.8,89.4,25.0,17850,33.2,76792,76.0,10.7,158900,68726,2.94,25411,62377,10.3,3269,43104,3.6,16949,18508,28.9,0.0,5.4,0.0,2.7,33.6,1695755,3076624,1907354,10315,243225,208,322.13,633.0
13153,147658,139911,5.5,139900,7.0,25.9,11.3,51.2,64.1,29.9,0.4,2.7,0.2,2.7,6.5,58.9,82.4,5.4,8.0,87.9,24.8,18385,20.4,59707,67.6,17.5,135800,51728,2.69,25570,56265,14.6,2288,33910,-1.1,8552,8657,17.1,0.0,6.2,0.0,2.8,29.1,1422893,0,1524261,11610,206115,572,375.54,372.5
13155,9427,9538,-1.2,9538,5.5,22.7,17.2,48.6,71.1,27.1,0.1,0.8,0.0,1.0,3.3,68.4,87.5,0.4,2.0,77.2,7.9,1032,22.5,3990,74.2,4.8,77600,3185,2.79,17808,38770,20.8,126,1723,5.7,579,742,10.9,0.0,0.0,0.0,0.0,0.0,0,94087,27252,2734,2608,12,354.34,26.9
13157,61044,60485,0.9,60485,6.8,25.9,13.0,50.4,89.1,7.1,0.3,1.8,0.1,1.6,6.7,83.0,87.9,4.1,8.3,79.9,18.7,3899,29.3,23510,76.8,5.7,162900,21250,2.80,22830,53393,15.6,1130,15819,1.9,4607,6073,0.0,0.0,1.5,0.0,3.9,21.1,1801528,568845,559370,9365,33343,70,339.66,178.1
13159,13601,13900,-2.2,13900,6.1,24.4,14.5,51.0,75.4,22.1,0.5,0.3,0.0,1.6,4.2,72.0,83.6,3.4,5.1,84.2,14.3,850,36.6,6164,77.0,1.9,123000,5101,2.68,21854,43768,20.2,156,1400,6.2,1020,1517,0.0,0.0,0.0,0.0,0.0,27.7,187450,0,33351,2442,3412,39,368.17,37.8
13161,15004,15068,-0.4,15068,7.4,27.2,13.9,50.4,82.2,15.5,0.7,0.6,0.0,1.0,10.9,72.4,89.2,4.7,9.0,78.7,11.4,865,23.1,6374,69.6,7.6,78700,5709,2.60,17168,35203,25.8,242,3159,-6.2,858,1009,0.0,0.0,0.0,0.0,0.0,0.0,242915,35858,204381,15440,9883,0,330.74,45.6
13163,16320,16930,-3.6,16930,6.5,24.1,16.5,51.6,44.3,54.1,0.2,0.6,0.1,0.8,3.2,41.6,85.4,0.6,1.9,73.8,8.7,1218,21.9,7211,67.5,9.6,69700,6180,2.61,15131,27612,30.3,310,4009,2.2,1004,1266,31.8,0.0,0.0,0.0,0.0,27.6,303595,127174,129391,7897,11202,16,526.49,32.2
13165,9269,8340,11.1,8340,5.8,22.5,14.8,46.9,54.7,43.2,0.5,0.6,0.2,0.9,5.1,51.1,86.3,3.9,5.7,69.6,13.8,509,25.8,4147,73.5,1.5,66400,3154,2.65,17791,27039,29.5,101,957,35.2,479,716,0.0,0.0,0.0,0.0,0.0,0.0,116890,0,53910,6311,3823,9,347.28,24.0
13167,9767,9980,-2.1,9980,4.5,19.9,15.2,43.5,64.0,34.6,0.3,0.3,0.0,0.8,2.4,62.1,81.7,1.3,1.9,73.3,11.9,888,28.0,4051,76.5,6.9,67000,3340,2.57,16195,34521,20.7,121,1099,-3.9,554,516,0.0,0.0,0.0,0.0,0.0,21.1,0,0,25209,2678,1384,0,303.01,32.9
13169,28569,28669,-0.3,28669,5.5,24.7,14.9,51.6,73.4,24.6,0.3,0.8,0.0,1.0,1.3,72.3,87.3,2.4,2.9,89.0,19.4,1969,25.9,11523,79.7,5.0,137000,10531,2.69,24123,53085,14.2,322,2394,-4.0,1943,2169,0.0,0.0,0.0,0.0,0.0,29.9,0,42353,70608,2588,13415,13,393.93,72.8
13171,17959,18317,-2.0,18317,5.8,21.1,15.8,52.3,66.4,31.2,0.3,0.5,0.0,1.7,2.1,64.7,81.9,1.4,1.8,80.0,12.7,1561,30.4,7480,69.5,10.9,119800,6458,2.65,18657,39224,19.8,232,2608,11.4,1123,1544,0.0,0.0,0.0,0.0,0.0,27.8,0,0,113965,6732,12041,10,183.50,99.8
13173,10408,10074,3.3,10078,7.7,25.0,11.6,49.0,72.1,23.0,0.9,1.4,0.0,2.5,5.2,68.2,79.0,2.5,3.7,74.9,12.8,732,22.9,4250,64.2,5.1,127700,3627,2.67,18334,41867,21.9,97,810,-10.1,531,731,0.0,0.0,0.0,0.0,0.0,26.7,0,0,0,0,0,9,185.26,54.4
13175,47999,48434,-0.9,48434,6.8,24.8,15.9,52.3,61.3,36.2,0.3,1.0,0.0,1.1,2.4,59.3,88.4,2.0,3.5,79.7,15.5,3697,22.4,21174,66.5,10.8,88100,17533,2.69,18936,35912,23.6,1045,14723,-0.8,3690,4485,0.0,0.0,0.0,0.0,0.0,27.9,0,252146,613069,12912,66796,33,807.30,60.0
13177,29071,28298,2.7,28298,6.5,26.9,10.1,49.9,75.6,20.4,0.3,2.3,0.1,1.3,2.4,73.6,85.8,3.0,4.6,83.8,19.1,2196,21.6,10518,75.2,9.7,150700,9625,2.81,25481,58400,11.3,369,3169,-1.9,1955,2208,0.0,0.0,0.0,0.0,0.0,30.3,0,118292,123990,3754,6881,132,355.78,79.5
